Date,AAPL,FB,MSFT,TSLA
2011-01-03,10.06386661529541,,21.964448928833008,5.323999881744385
2011-01-04,10.116388320922852,,22.050800323486328,5.334000110626221
2011-01-05,10.199140548706055,,21.980154037475586,5.366000175476074
2011-01-06,10.190897941589355,,22.623859405517578,5.576000213623047
2011-01-07,10.263877868652344,,22.451156616210938,5.6479997634887695
2011-01-10,10.457172393798828,,22.152851104736328,5.690000057220459
2011-01-11,10.432441711425781,,22.066497802734375,5.392000198364258
2011-01-12,10.517333984375,,22.411903381347656,5.392000198364258
2011-01-13,10.555806159973145,,22.129302978515625,5.24399995803833
2011-01-14,10.64130973815918,,22.215648651123047,5.150000095367432
2011-01-18,10.402209281921387,,22.498254776000977,5.127999782562256
2011-01-19,10.346940040588379,,22.349109649658203,4.806000232696533
2011-01-20,10.158834457397461,,22.254899978637695,4.52400016784668
2011-01-21,9.976836204528809,,21.995849609375,4.607999801635742
2011-01-24,10.304492950439453,,22.27845001220703,4.8979997634887695
2011-01-25,10.42510986328125,,22.333410263061523,4.935999870300293
2011-01-26,10.49992561340332,,22.592458724975586,4.949999809265137
2011-01-27,10.48038101196289,,22.663101196289062,4.984000205993652
2011-01-28,10.26326847076416,,21.783903121948242,4.802000045776367
2011-01-31,10.361595153808594,,21.7681941986084,4.820000171661377
2011-02-01,10.535959243774414,,21.97229766845703,4.7820000648498535
2011-02-02,10.514281272888184,,21.933055877685547,4.788000106811523
2011-02-03,10.487405776977539,,21.705392837524414,4.72599983215332
2011-02-04,10.58084774017334,,21.799598693847656,4.691999912261963
2011-02-07,10.745131492614746,,22.13715362548828,4.613999843597412
2011-02-08,10.846512794494629,,22.199953079223633,4.8979997634887695
2011-02-09,10.936899185180664,,21.95660400390625,4.642000198364258
2011-02-10,10.826356887817383,,21.587644577026367,4.644000053405762
2011-02-11,10.89689826965332,,21.391399383544922,4.650000095367432
2011-02-14,10.968048095703125,,21.37569808959961,4.616000175476074
2011-02-15,10.990035057067871,,21.288833618164062,4.567999839782715
2011-02-16,11.088667869567871,,21.336219787597656,4.946000099182129
2011-02-17,10.941174507141113,,21.486242294311523,4.71999979019165
2011-02-18,10.70482349395752,,21.367799758911133,4.636000156402588
2011-02-22,10.33991527557373,,20.996665954589844,4.374000072479248
2011-02-23,10.462366104125977,,20.996665954589844,4.366000175476074
2011-02-24,10.470305442810059,,21.138809204101562,4.50600004196167
2011-02-25,10.631537437438965,,20.965078353881836,4.7220001220703125
2011-02-28,10.785744667053223,,20.988771438598633,4.7779998779296875
2011-03-01,10.666656494140625,,20.657121658325195,4.788000106811523
2011-03-02,10.752460479736328,,20.593948364257812,4.803999900817871
2011-03-03,10.979647636413574,,20.68870735168457,4.872000217437744
2011-03-04,10.993086814880371,,20.49129867553711,4.989999771118164
2011-03-07,10.851398468017578,,20.30967140197754,4.98799991607666
2011-03-08,10.863614082336426,,20.45970916748047,4.932000160217285
2011-03-09,10.763148307800293,,20.44391441345215,4.943999767303467
2011-03-10,10.586040496826172,,20.064884185791016,4.802000045776367
2011-03-11,10.748490333557129,,20.27808952331543,4.814000129699707
2011-03-14,10.796433448791504,,20.285987854003906,4.650000095367432
2011-03-15,10.548172950744629,,20.049095153808594,4.590000152587891
2011-03-16,10.077301025390625,,19.575307846069336,4.564000129699707
2011-03-17,10.2186861038208,,19.56740379333496,4.561999797821045
2011-03-18,10.097455024719238,,19.58320426940918,4.5920000076293945
2011-03-21,10.360986709594727,,20.0017147064209,4.546000003814697
2011-03-22,10.419002532958984,,19.978023529052734,4.438000202178955
2011-03-23,10.357624053955078,,20.167537689208984,4.441999912261963
2011-03-24,10.534126281738281,,20.38074493408203,4.466000080108643
2011-03-25,10.734752655029297,,20.2307071685791,4.550000190734863
2011-03-28,10.701160430908203,,20.064884185791016,4.650000095367432
2011-03-29,10.717040061950684,,20.1280574798584,4.783999919891357
2011-03-30,10.645890235900879,,20.22281837463379,4.742000102996826
2011-03-31,10.64222526550293,,20.049095153808594,5.550000190734863
2011-04-01,10.5216064453125,,20.120153427124023,5.331999778747559
2011-04-04,10.418699264526367,,20.175437927246094,5.165999889373779
2011-04-05,10.34846305847168,,20.357053756713867,5.340000152587891
2011-04-06,10.322507858276367,,20.649219512939453,5.297999858856201
2011-04-07,10.32373332977295,,20.68870735168457,5.447999954223633
2011-04-08,10.231510162353516,,20.586048126220703,5.297999858856201
2011-04-11,10.101424217224121,,20.51498794555664,5.053999900817871
2011-04-12,10.150285720825195,,20.246501922607422,4.929999828338623
2011-04-13,10.264184951782227,,20.238603591918945,4.986000061035156
2011-04-14,10.150894165039062,,20.072786331176758,5.0279998779296875
2011-04-15,9.999431610107422,,20.033302307128906,5.116000175476074
2011-04-18,10.133488655090332,,19.80430030822754,5.00600004196167
2011-04-19,10.317014694213867,,19.859580993652344,5.0320000648498535
2011-04-20,10.455952644348145,,20.341264724731445,5.150000095367432
2011-04-21,10.709099769592285,,20.151752471923828,5.3480000495910645
2011-04-25,10.779640197753906,,20.22281837463379,5.2779998779296875
2011-04-26,10.700550079345703,,20.680809020996094,5.386000156402588
2011-04-27,10.692305564880371,,20.830841064453125,5.415999889373779
2011-04-28,10.588483810424805,,21.0914249420166,5.5320000648498535
2011-04-29,10.691694259643555,,20.467605590820312,5.519999980926514
2011-05-02,10.574131965637207,,20.26229476928711,5.489999771118164
2011-05-03,10.632759094238281,,20.38074493408203,5.374000072479248
2011-05-04,10.67459487915039,,20.578147888183594,5.3379998207092285
2011-05-05,10.588483810424805,,20.364953994750977,5.288000106811523
2011-05-06,10.585729598999023,,20.428129196166992,5.423999786376953
2011-05-09,10.614439010620117,,20.396533966064453,5.581999778747559
2011-05-10,10.670929908752441,,20.270191192626953,5.665999889373779
2011-05-11,10.603137969970703,,20.02540397644043,5.414000034332275
2011-05-12,10.582983016967773,,19.993816375732422,5.533999919891357
2011-05-13,10.397627830505371,,19.764822006225586,5.510000228881836
2011-05-16,10.177764892578125,,19.401586532592773,5.320000171661377
2011-05-17,10.264488220214844,,19.489015579223633,5.191999912261963
2011-05-18,10.378390312194824,,19.624135971069336,5.269999980926514
2011-05-19,10.398545265197754,,19.647977828979492,5.639999866485596
2011-05-20,10.236395835876465,,19.465171813964844,5.593999862670898
2011-05-23,10.211355209350586,,19.210830688476562,5.363999843597412
2011-05-24,10.143874168395996,,19.194927215576172,5.343999862670898
2011-05-25,10.284036636352539,,19.226722717285156,5.796000003814697
2011-05-26,10.229681015014648,,19.60823631286621,5.895999908447266
2011-05-27,10.303271293640137,,19.679771423339844,5.909999847412109
2011-05-31,10.621461868286133,,19.878477096557617,6.0279998779296875
2011-06-01,10.550613403320312,,19.417478561401367,5.703999996185303
2011-06-02,10.568632125854492,,19.250564575195312,5.751999855041504
2011-06-03,10.487405776977539,,19.00417137145996,6.026000022888184
2011-06-06,10.322507858276367,,19.083660125732422,5.739999771118164
2011-06-07,10.139290809631348,,19.123397827148438,5.673999786376953
2011-06-08,10.145400047302246,,19.028017044067383,5.423999786376953
2011-06-09,10.1224946975708,,19.043912887573242,5.52400016784668
2011-06-10,9.951797485351562,,18.845203399658203,5.572000026702881
2011-06-13,9.973172187805176,,19.107498168945312,5.685999870300293
2011-06-14,10.151503562927246,,19.250564575195312,5.71999979019165
2011-06-15,9.977752685546875,,18.869054794311523,5.464000225067139
2011-06-16,9.92920207977295,,19.07571029663086,5.300000190734863
2011-06-17,9.779572486877441,,19.282360076904297,5.300000190734863
2011-06-20,9.62872314453125,,19.44927406311035,5.202000141143799
2011-06-21,9.933476448059082,,19.679771423339844,5.50600004196167
2011-06-22,9.85133171081543,,19.59234046936035,5.441999912261963
2011-06-23,10.114559173583984,,19.576446533203125,5.541999816894531
2011-06-24,9.96554183959961,,19.31415367126465,5.513999938964844
2011-06-27,10.139290809631348,,20.02948760986328,5.492000102996826
2011-06-28,10.237618446350098,,20.506380081176758,5.622000217437744
2011-06-29,10.20036792755127,,20.363317489624023,5.6579999923706055
2011-06-30,10.25013542175293,,20.66534996032715,5.826000213623047
2011-07-01,10.481908798217773,,20.681245803833008,5.803999900817871
2011-07-05,10.670315742492676,,20.689193725585938,5.828000068664551
2011-07-06,10.741464614868164,,20.927635192871094,5.791999816894531
2011-07-07,10.907585144042969,,21.277366638183594,5.946000099182129
2011-07-08,10.984230995178223,,21.396587371826172,5.76200008392334
2011-07-11,10.809869766235352,,21.16608428955078,5.670000076293945
2011-07-12,10.80223560333252,,21.094552993774414,5.633999824523926
2011-07-13,10.932625770568848,,21.16608428955078,5.728000164031982
2011-07-14,10.924992561340332,,21.038915634155273,5.521999835968018
2011-07-15,11.14332389831543,,21.285310745239258,5.515999794006348
